index,value
2001 Aug,65.58
2001 Sep,66.48
2001 Oct,65.7
2001 Nov,64.33
2001 Dec,63.23
2002 Jan,62.94
2002 Feb,62.92
2002 Mar,62.73
2002 Apr,62.5
2002 May,63.35
2002 Jun,63.8
2002 Jul,64.21
2002 Aug,64.11
2002 Sep,64.04
2002 Oct,63
2002 Nov,61.9
2002 Dec,61.49
2003 Jan,62.27
2003 Feb,63.13
2003 Mar,63.86
2003 Apr,63.53
2003 May,64.6
2003 Jun,65.99
2003 Jul,67.5
2003 Aug,68.5
2003 Sep,69.23
2003 Oct,68.57
2003 Nov,68.36
2003 Dec,68.98
2004 Jan,69.58
2004 Feb,71.59
2004 Mar,73.09
2004 Apr,74.75
2004 May,76.59
2004 Jun,79.63
2004 Jul,80.94
2004 Aug,80.1
2004 Sep,78.16
2004 Oct,76
2004 Nov,74.71
2004 Dec,73.6
2005 Jan,73.44
2005 Feb,73.75
2005 Mar,73.88
2005 Apr,74
2005 May,74.29
2005 Jun,74.48
2005 Jul,74.75
2005 Aug,74.77
2005 Sep,75.19
2005 Oct,74.38
2005 Nov,72.69
2005 Dec,71.21
2006 Jan,69.86
2006 Feb,69.18
2006 Mar,68.29
2006 Apr,67.52
2006 May,67.87
2006 Jun,68.98
2006 Jul,69.9
2006 Aug,70.42
2006 Sep,70.69
2006 Oct,69.65
2006 Nov,69
2006 Dec,69.35
2007 Jan,71.33
2007 Feb,73.77
2007 Mar,76.37
2007 Apr,78.1
2007 May,79.52
2007 Jun,80.75
2007 Jul,81.17
2007 Aug,81.27
2007 Sep,81.55
2007 Oct,79.75
2007 Nov,77.77
2007 Dec,76.85
2008 Jan,77.25
2008 Feb,79.15
2008 Mar,81.23
2008 Apr,82.04
2008 May,83.46
2008 Jun,85.71
2008 Jul,88.25
2008 Aug,88.42
2008 Sep,88.4
2008 Oct,87.54
2008 Nov,86.93
2008 Dec,87.02
2009 Jan,87.25
2009 Feb,86.7
2009 Mar,85.73
2009 Apr,85.38
2009 May,86.96
2009 Jun,88.17
2009 Jul,88.56
2009 Aug,86.77
2009 Sep,84.88
2009 Oct,82.85
2009 Nov,82.13
2009 Dec,82.15
2010 Jan,83.04
2010 Feb,83.3
2010 Mar,84
2010 Apr,85.28
2010 May,86.45
2010 Jun,87.17
2010 Jul,87.84
2010 Aug,87.79
2010 Sep,87.75
2010 Oct,86.73
2010 Nov,85.46
2010 Dec,85.35
2011 Jan,85
2011 Feb,85.07
2011 Mar,86.08
2011 Apr,86.4
2011 May,86.54
2011 Jun,86.94
2011 Jul,87.34
2011 Aug,88.13
2011 Sep,88.98
2011 Oct,89
2011 Nov,89.23
2011 Dec,89.82
2012 Jan,90.35
2012 Feb,91.17
2012 Mar,92.79
2012 Apr,93.25
2012 May,94.06
2012 Jun,94.5
2012 Jul,94.73
2012 Aug,95.02
2012 Sep,95.65
2012 Oct,95.84
2012 Nov,96.64
2012 Dec,97.65
2013 Jan,99.12
2013 Feb,100.17
2013 Mar,101.46
2013 Apr,102.56
2013 May,104.1
2013 Jun,105.54
2013 Jul,106.41
2013 Aug,106.5
2013 Sep,106.19
2013 Oct,105.07
2013 Nov,104.69
2013 Dec,104.25
2014 Jan,104.4
2014 Feb,104.5
2014 Mar,105.25
2014 Apr,107.27
2014 May,108.79
2014 Jun,110.88
2014 Jul,112.6
2014 Aug,112.79
2014 Sep,113.52
2014 Oct,113.89
2014 Nov,113.93
2014 Dec,113.77
2015 Jan,114.1
2015 Feb,113.77
2015 Mar,114.27
2015 Apr,114.88
2015 May,115.96
2015 Jun,116
2015 Jul,115.9
2015 Aug,115.46
2015 Sep,115
2015 Oct,114.27
2015 Nov,113.36
2015 Dec,113.06
2016 Jan,112.52
2016 Feb,112.1
2016 Mar,111.56
2016 Apr,111.55
2016 May,111.98
2016 Jun,111.84
2016 Jul,111.46
