index,value
1948 Jan,4
1948 Feb,4.7
1948 Mar,4.5
1948 Apr,4
1948 May,3.4
1948 Jun,3.9
1948 Jul,3.9
1948 Aug,3.6
1948 Sep,3.4
1948 Oct,2.9
1948 Nov,3.3
1948 Dec,3.6
1949 Jan,5
1949 Feb,5.8
1949 Mar,5.6
1949 Apr,5.4
1949 May,5.7
1949 Jun,6.4
1949 Jul,7
1949 Aug,6.3
1949 Sep,5.9
1949 Oct,6.1
1949 Nov,5.7
1949 Dec,6
1950 Jan,7.6
1950 Feb,7.9
1950 Mar,7.1
1950 Apr,6
1950 May,5.3
1950 Jun,5.6
1950 Jul,5.3
1950 Aug,4.1
1950 Sep,4
1950 Oct,3.3
1950 Nov,3.8
1950 Dec,3.9
1951 Jan,4.4
1951 Feb,4.2
1951 Mar,3.8
1951 Apr,3.2
1951 May,2.9
1951 Jun,3.4
1951 Jul,3.3
1951 Aug,2.9
1951 Sep,3
1951 Oct,2.8
1951 Nov,3.2
1951 Dec,2.9
1952 Jan,3.7
1952 Feb,3.8
1952 Mar,3.3
1952 Apr,3
1952 May,2.9
1952 Jun,3.2
1952 Jul,3.3
1952 Aug,3.1
1952 Sep,2.7
1952 Oct,2.4
1952 Nov,2.5
1952 Dec,2.5
1953 Jan,3.4
1953 Feb,3.2
1953 Mar,2.9
1953 Apr,2.8
1953 May,2.5
1953 Jun,2.7
1953 Jul,2.7
1953 Aug,2.4
1953 Sep,2.6
1953 Oct,2.5
1953 Nov,3.2
1953 Dec,4.2
1954 Jan,5.7
1954 Feb,6.3
1954 Mar,6.4
1954 Apr,6.1
1954 May,5.7
1954 Jun,5.7
1954 Jul,5.7
1954 Aug,5.4
1954 Sep,5.3
1954 Oct,4.6
1954 Nov,4.9
1954 Dec,4.8
1955 Jan,5.8
1955 Feb,5.7
1955 Mar,5.2
1955 Apr,4.9
1955 May,4.2
1955 Jun,4.4
1955 Jul,4
1955 Aug,3.8
1955 Sep,3.5
1955 Oct,3.4
1955 Nov,3.8
1955 Dec,3.9
1956 Jan,4.7
1956 Feb,4.8
1956 Mar,4.7
1956 Apr,4.1
1956 May,4.2
1956 Jun,4.7
1956 Jul,4.4
1956 Aug,3.7
1956 Sep,3.4
1956 Oct,3.1
1956 Nov,3.9
1956 Dec,4
1957 Jan,4.9
1957 Feb,4.7
1957 Mar,4.3
1957 Apr,4
1957 May,3.9
1957 Jun,4.6
1957 Jul,4.1
1957 Aug,3.7
1957 Sep,3.7
