index,value
2003 Sep,2.88
2003 Oct,3.16
2003 Nov,2.96
2003 Dec,3.12
2004 Jan,3.23
2004 Feb,3.32
2004 Mar,3.45
2004 Apr,3.61
2004 May,3.48
2004 Jun,3.21
2004 Jul,3.11
2004 Aug,3.35
2004 Sep,3.26
2004 Oct,3.19
2004 Nov,3.23
2004 Dec,3.67
2005 Jan,3.69
2005 Feb,3.89
2005 Mar,3.98
2005 Apr,3.98
2005 May,4
2005 Jun,4.18
2005 Jul,4.38
2005 Aug,4.34
2005 Sep,4.18
2005 Oct,4.08
2005 Nov,3.92
2005 Dec,4.13
2006 Jan,4.03
2006 Feb,4
2006 Mar,4.62
2006 Apr,5.43
2006 May,6.17
2006 Jun,6.68
2006 Jul,6.14
2006 Aug,5.83
2006 Sep,4.72
2006 Oct,4.3
2006 Nov,4.31
2006 Dec,4.51
2007 Jan,4.46
2007 Feb,4.62
2007 Mar,4.7
2007 Apr,4.78
2007 May,4.43
2007 Jun,4.22
2007 Jul,4.35
2007 Aug,4.73
2007 Sep,4.58
2007 Oct,4.48
2007 Nov,4.5
2007 Dec,4.67
2008 Jan,4.81
2008 Feb,4.74
2008 Mar,5.22
2008 Apr,5.12
2008 May,5.31
2008 Jun,5.15
2008 Jul,5.62
2008 Aug,5.37
2008 Sep,4.96
2008 Oct,4.16
2008 Nov,3.82
2008 Dec,3.9
2009 Jan,4.11
2009 Feb,4.12
2009 Mar,4.48
2009 Apr,4.8
2009 May,5.44
2009 Jun,5.5
2009 Jul,5.77
2009 Aug,4.99
2009 Sep,5
2009 Oct,4.81
2009 Nov,5.01
2009 Dec,5.05
2010 Jan,5.15
2010 Feb,5.54
2010 Mar,5.99
2010 Apr,6.48
2010 May,6.32
2010 Jun,5.95
2010 Jul,6.31
2010 Aug,6.44
2010 Sep,6.2
2010 Oct,6.37
2010 Nov,6.06
2010 Dec,6.9
2011 Jan,6.8
2011 Feb,6.98
2011 Mar,7.3
2011 Apr,7.84
2011 May,7.43
2011 Jun,6.3
2011 Jul,5.63
2011 Aug,5.38
2011 Sep,4.78
2011 Oct,4.26
2011 Nov,4.23
2011 Dec,4.55
2012 Jan,4.35
2012 Feb,4.77
2012 Mar,5.05
2012 Apr,4.98
2012 May,5.01
2012 Jun,4.52
2012 Jul,4.44
2012 Aug,4.65
2012 Sep,4.81
2012 Oct,4.43
2012 Nov,4.68
2012 Dec,5.24
2013 Jan,6.16
2013 Feb,6.43
2013 Mar,6.56
2013 Apr,7.07
2013 May,7.36
2013 Jun,6.88
2013 Jul,7.35
2013 Aug,6.96
2013 Sep,5.81
2013 Oct,6.1
2013 Nov,6.38
2013 Dec,7.53
2014 Jan,8.06
2014 Feb,7.79
2014 Mar,7.43
2014 Apr,7.56
2014 May,7.07
2014 Jun,6.19
2014 Jul,6.39
2014 Aug,5.93
2014 Sep,5.49
2014 Oct,5.37
2014 Nov,5.75
2014 Dec,6.15
2015 Jan,5.95
2015 Feb,5.58
2015 Mar,5.14
2015 Apr,5.12
2015 May,5.12
2015 Jun,5.16
2015 Jul,5.29
2015 Aug,5.45
2015 Sep,5.03
2015 Oct,5.02
2015 Nov,5.02
2015 Dec,5.79
2016 Jan,6.45
2016 Feb,6.14
2016 Mar,6.91
2016 Apr,7.11
2016 May,7.27
2016 Jun,7.67
2016 Jul,8.01
2016 Aug,7.06
2016 Sep,6.67
2016 Oct,7.21
2016 Nov,7.32
2016 Dec,7.86
2017 Jan,8.64
2017 Feb,7.88
2017 Mar,7.2
2017 Apr,7.44
2017 May,8.02
2017 Jun,8.1
