index,value
1948 Jan,40.6
1948 Feb,41.1
1948 Mar,40.5
1948 Apr,40.1
1948 May,40.4
1948 Jun,41.2
1948 Jul,39.3
1948 Aug,41.6
1948 Sep,42.3
1948 Oct,43.2
1948 Nov,41.8
1948 Dec,40.5
1949 Jan,40
1949 Feb,40.1
1949 Mar,39.3
1949 Apr,38.5
1949 May,37.7
1949 Jun,37.9
1949 Jul,36
1949 Aug,39
1949 Sep,40
1949 Oct,39.2
1949 Nov,39
1949 Dec,38.8
1950 Jan,39.8
1950 Feb,40.3
1950 Mar,41.6
1950 Apr,42.6
1950 May,43
1950 Jun,44.7
1950 Jul,43.4
1950 Aug,48.3
1950 Sep,48.7
1950 Oct,50
1950 Nov,48.3
1950 Dec,48.2
1951 Jan,48.5
1951 Feb,49.6
1951 Mar,50
1951 Apr,49.4
1951 May,48.6
1951 Jun,49.1
1951 Jul,45.5
1951 Aug,48
1951 Sep,49.1
1951 Oct,49.5
1951 Nov,48.9
1951 Dec,48.2
1952 Jan,49
1952 Feb,50.1
1952 Mar,50.4
1952 Apr,49.1
1952 May,48.3
1952 Jun,48.4
1952 Jul,44.9
1952 Aug,50.6
1952 Sep,53.4
1952 Oct,54.5
1952 Nov,54.5
1952 Dec,53.6
1953 Jan,54.2
1953 Feb,55.6
1953 Mar,56.3
1953 Apr,55.8
1953 May,55.8
1953 Jun,55.9
1953 Jul,53.2
1953 Aug,55.8
1953 Sep,55.5
1953 Oct,55.8
1953 Nov,53.2
1953 Dec,51
1954 Jan,51.3
1954 Feb,52
1954 Mar,51.8
1954 Apr,51.2
1954 May,51.3
1954 Jun,51.9
1954 Jul,48.8
1954 Aug,51.3
1954 Sep,52.3
1954 Oct,53.5
1954 Nov,53.6
1954 Dec,53.4
1955 Jan,54.7
1955 Feb,56.2
1955 Mar,57.5
1955 Apr,57.9
1955 May,58.4
1955 Jun,59.1
1955 Jul,55.8
1955 Aug,58.6
1955 Sep,60.1
1955 Oct,61.9
1955 Nov,61.3
1955 Dec,60.4
1956 Jan,60.5
1956 Feb,61.1
1956 Mar,61.2
1956 Apr,61.6
1956 May,60.7
1956 Jun,61
1956 Jul,55.2
1956 Aug,60.4
1956 Sep,62.6
1956 Oct,63.8
1956 Nov,62.6
1956 Dec,62
1957 Jan,62
1957 Feb,63.5
1957 Mar,63.6
1957 Apr,62.3
1957 May,61.8
1957 Jun,63.1
1957 Jul,59.4
1957 Aug,62.8
1957 Sep,63
1957 Oct,62.6
1957 Nov,60.4
1957 Dec,57.8
1958 Jan,57
1958 Feb,56.4
1958 Mar,55.8
1958 Apr,54.7
1958 May,55
1958 Jun,57.6
1958 Jul,59.4
1958 Aug,58.7
1958 Sep,60.7
1958 Oct,61.3
1958 Nov,62.1
1958 Dec,60.8
1959 Jan,61.9
1959 Feb,63.8
1959 Mar,65.2
1959 Apr,66.4
1959 May,67.2
1959 Jun,68.5
1959 Jul,62.9
1959 Aug,63.3
1959 Sep,64.5
1959 Oct,64.6
1959 Nov,63.6
1959 Dec,65.9
1960 Jan,67.8
1960 Feb,68.2
1960 Mar,68
1960 Apr,67.5
1960 May,67.3
1960 Jun,67.5
1960 Jul,63.4
1960 Aug,65.6
1960 Sep,66.6
1960 Oct,66.9
1960 Nov,64.5
1960 Dec,61.7
1961 Jan,62
1961 Feb,62.7
1961 Mar,63.5
1961 Apr,65.1
1961 May,66.1
1961 Jun,68
1961 Jul,64.6
1961 Aug,67.9
1961 Sep,69.5
1961 Oct,71.1
1961 Nov,70.5
1961 Dec,69.4
1962 Jan,68.9
1962 Feb,71
1962 Mar,72.1
1962 Apr,72.4
1962 May,72.4
1962 Jun,73.4
1962 Jul,69.7
1962 Aug,71.9
1962 Sep,74.7
1962 Oct,75
1962 Nov,73.6
1962 Dec,71.8
1963 Jan,72.4
1963 Feb,74.7
1963 Mar,75.7
1963 Apr,76.4
1963 May,77.1
1963 Jun,78.6
1963 Jul,73.4
1963 Aug,75.5
1963 Sep,78.9
1963 Oct,80.2
1963 Nov,78.7
1963 Dec,76.5
1964 Jan,77.5
1964 Feb,79.8
1964 Mar,80.2
1964 Apr,81.5
1964 May,81.9
1964 Jun,83.2
1964 Jul,78.3
1964 Aug,81.3
