unemp,gnp,consum,govinv,prinv
3.9,1106.1,681.4,180.4,210.3
3.6,1116.3,682.9,181.3,211.5
3.7,1125.5,688.3,178.7,206
4.3,1112.4,688.7,181.6,183.2
5.3,1105.9,696.9,196.3,160.2
6.7,1114.3,695.3,205.1,168.3
7.9,1103.3,700.8,215.2,163.4
6.5,1148.2,711.9,217.6,201.9
5.8,1181,725.8,226.6,226.1
5,1225.3,754.8,231.4,241.6
4.2,1260.2,740.5,228.4,270.3
3.7,1286.6,754.4,225.9,241.6
3.1,1320.4,740.3,221.4,249
3.1,1349.8,747.8,229.6,233.8
3.5,1356,752.3,246.4,216.2
3.2,1369.2,754.7,285.9,219.9
2.9,1365.9,768.1,318.3,199.9
3.2,1378.2,772.7,348,206.6
3,1406.8,790,366.8,220.8
2.9,1431.4,799.8,377.1,222.3
2.7,1444.9,803.7,387.6,225.1
2.6,1438.2,803.1,396.7,217.4
3.1,1426.6,803.3,398.3,201.5
4.9,1406.8,807.1,411.9,203.2
5.9,1401.2,814.3,420.2,206.4
5.8,1418,827.3,420.4,215
5.7,1438.8,842.3,423.5,225.7
4.9,1469.6,855.3,397.4,245.1
4.7,1485.7,869.1,379,260.8
4,1505.5,878,372.4,264.3
4.3,1518.7,892.7,364.9,268.9
4,1515.7,895.1,364.8,262.1
4,1522.6,896.5,358.3,258.3
4.4,1523.7,899.2,363.2,257.1
3.9,1540.6,908.4,359,253.8
4.2,1553.3,914.3,360,248.6
3.9,1552.4,916.2,364.9,245.3
4.2,1561.5,922.6,362.4,249.2
4.5,1537.3,925.7,367.6,230.3
5.8,1506.1,916.5,379.4,210.9
7.4,1514.2,926,381.6,206.2
7.5,1550,939.7,382.1,222.2
6.7,1586.7,949.4,381.2,246.4
6,1606.4,964.3,386.5,261.7
5.2,1637,977.2,392.7,283.1
5.1,1629.5,986.3,397.1,262.4
5.7,1643.4,989.6,404.7,274.1
5.2,1671.6,997.1,399.3,288.7
5.2,1666.8,1009.8,398.8,261.4
5.5,1668.4,1005.7,397.1,258.3
6.1,1654.1,1007.8,395.3,233.6
6.6,1671.3,1009.5,395.2,238.3
7,1692.1,1023.5,402.6,249.1
7,1716.3,1024.6,406.8,270.5
6.5,1754.9,1042.9,410.1,278.4
5.8,1777.9,1053.6,419.7,287.7
5.6,1796.4,1063.6,422.4,291.2
5.4,1813.1,1072.8,426.7,294.7
5.4,1810.1,1085.8,439.6,280.7
5.7,1834.6,1094.1,446,291.9
5.7,1860,1100.2,446.9,306.9
5.6,1892.5,1115.5,452.1,315.6
5.5,1906.1,1123.6,452.6,314
5.6,1948.7,1145.2,455.2,324.7
5.3,1965.4,1164.4,454.4,323.6
4.9,1985.2,1184.8,464.1,324.5
