index,value
1880,-0.05
1881,0.01
1882,0
1883,-0.06
1884,-0.15
1885,-0.21
1886,-0.21
1887,-0.24
1888,-0.05
1889,-0.04
1890,-0.29
1891,-0.13
1892,-0.18
1893,-0.23
1894,-0.26
1895,-0.14
1896,0
1897,-0.05
1898,-0.23
1899,-0.16
1900,-0.07
1901,-0.18
1902,-0.26
1903,-0.41
1904,-0.51
1905,-0.28
1906,-0.26
1907,-0.32
1908,-0.47
1909,-0.52
1910,-0.49
1911,-0.47
1912,-0.31
1913,-0.37
1914,-0.21
1915,-0.14
1916,-0.33
1917,-0.38
1918,-0.22
1919,-0.27
1920,-0.26
1921,-0.24
1922,-0.3
1923,-0.3
1924,-0.3
1925,-0.26
1926,-0.17
1927,-0.23
1928,-0.28
1929,-0.33
1930,-0.19
1931,-0.16
1932,-0.24
1933,-0.29
1934,-0.22
1935,-0.23
1936,-0.19
1937,-0.09
1938,-0.17
1939,-0.09
1940,0.11
1941,0.25
1942,0.05
1943,0.03
1944,0.21
1945,0.19
1946,-0.1
1947,-0.13
1948,-0.17
1949,-0.13
1950,-0.14
1951,-0.05
1952,0.02
1953,0.01
1954,-0.17
1955,-0.19
1956,-0.14
1957,0.05
1958,0.07
1959,0.01
1960,0
1961,0.03
1962,0.02
1963,0.03
1964,-0.13
1965,-0.09
1966,-0.04
1967,-0.06
1968,-0.04
1969,0.14
1970,0.02
1971,-0.12
1972,0.08
1973,0.1
1974,-0.07
1975,-0.09
1976,-0.03
1977,0.14
1978,0.08
1979,0.21
1980,0.23
1981,0.18
1982,0.19
1983,0.26
1984,0.16
1985,0.12
1986,0.16
1987,0.32
1988,0.27
1989,0.22
1990,0.33
1991,0.29
1992,0.22
1993,0.22
1994,0.24
1995,0.28
1996,0.24
1997,0.39
1998,0.44
1999,0.23
2000,0.25
2001,0.38
2002,0.42
2003,0.44
2004,0.43
2005,0.43
2006,0.43
2007,0.34
2008,0.33
2009,0.47
2010,0.47
2011,0.35
2012,0.42
2013,0.46
2014,0.55
2015,0.68
2016,0.7
2017,0.64
