index,value
1845,19.58
1846,19.6
1847,19.61
1848,11.99
1849,28.04
1850,58
1851,74.6
1852,75.09
1853,88.48
1854,61.28
1855,74.67
1856,88.06
1857,68.51
1858,32.19
1859,12.64
1860,21.49
1861,30.35
1862,2.18
1863,152.65
1864,148.36
1865,85.81
1866,41.41
1867,14.75
1868,2.28
1869,5.91
1870,9.95
1871,10.44
1872,70.64
1873,50.12
1874,50.13
1875,101.25
1876,97.12
1877,86.51
1878,72.17
1879,38.32
1880,10.11
1881,7.74
1882,9.67
1883,43.12
1884,52.21
1885,134.85
1886,134.86
1887,103.79
1888,46.1
1889,15.03
1890,24.2
1891,41.65
1892,52.34
1893,53.78
1894,70.4
1895,85.81
1896,56.69
1897,16.59
1898,6.16
1899,2.3
1900,12.82
1901,4.72
1902,4.73
1903,37.22
1904,69.72
1905,57.78
1906,28.68
1907,23.37
1908,21.54
1909,26.34
1910,53.1
1911,68.48
1912,75.58
1913,57.92
1914,40.97
1915,24.95
1916,12.59
1917,4.97
1918,4.5
1919,11.21
1920,56.6
1921,69.63
1922,77.74
1923,80.53
1924,73.38
1925,36.93
1926,4.64
1927,2.54
1928,1.8
1929,2.39
1930,4.23
1931,19.52
1932,82.11
1933,89.76
1934,81.66
1935,15.76
