index,value
1880,-0.62
1881,-0.45
1882,-0.47
1883,-0.62
1884,-0.82
1885,-0.7
1886,-0.7
1887,-0.69
1888,-0.63
1889,-0.32
1890,-0.62
1891,-0.54
1892,-0.5
1893,-0.55
1894,-0.42
1895,-0.39
1896,-0.34
1897,-0.22
1898,-0.36
1899,-0.14
1900,-0.06
1901,-0.03
1902,-0.3
1903,-0.29
1904,-0.43
1905,-0.28
1906,-0.06
1907,-0.52
1908,-0.31
1909,-0.3
1910,-0.25
1911,-0.32
1912,-0.41
1913,-0.25
1914,0.04
1915,0.01
1916,-0.32
1917,-0.57
1918,-0.38
1919,-0.22
1920,-0.22
1921,0.03
1922,-0.16
1923,-0.1
1924,-0.08
1925,0
1926,0.16
1927,-0.06
1928,0.06
1929,-0.35
1930,0.05
1931,0.1
1932,0.09
1933,-0.25
1934,0.07
1935,-0.1
1936,-0.04
1937,0.04
1938,0.23
1939,0.15
1940,0.09
1941,0.12
1942,0.1
1943,0.11
1944,0.22
1945,-0.07
1946,0.05
1947,0.13
1948,0.1
1949,-0.03
1950,-0.29
1951,-0.06
1952,-0.02
1953,0.23
1954,-0.12
1955,-0.07
1956,-0.4
1957,0.01
1958,0.12
1959,0.05
1960,-0.08
1961,0.14
1962,0.08
1963,0.19
1964,-0.27
1965,-0.13
1966,-0.03
1967,0.02
1968,-0.13
1969,-0.1
1970,0.05
1971,-0.05
1972,-0.13
1973,0.3
1974,-0.15
1975,0.12
1976,-0.28
1977,0.21
1978,0.04
1979,0.1
1980,0.35
1981,0.53
1982,0.04
1983,0.42
1984,0.1
1985,0.05
1986,0.24
1987,0.4
1988,0.62
1989,0.38
1990,0.63
1991,0.59
1992,0.24
1993,0.24
1994,0.45
1995,0.74
1996,0.42
1997,0.62
1998,0.95
1999,0.73
2000,0.63
2001,0.81
2002,1
2003,0.9
2004,0.77
2005,1.08
2006,0.91
2007,1.15
2008,0.82
2009,0.91
2010,1.07
2011,0.92
2012,0.92
2013,1.01
2014,1.03
2015,1.26
2016,1.44
2017,1.35
