index,value
1880,-0.28
1881,-0.21
1882,-0.26
1883,-0.27
1884,-0.32
1885,-0.32
1886,-0.29
1887,-0.36
1888,-0.27
1889,-0.17
1890,-0.39
1891,-0.27
1892,-0.32
1893,-0.33
1894,-0.33
1895,-0.25
1896,-0.14
1897,-0.11
1898,-0.25
1899,-0.15
1900,-0.07
1901,-0.14
1902,-0.24
1903,-0.3
1904,-0.34
1905,-0.24
1906,-0.19
1907,-0.39
1908,-0.33
1909,-0.35
1910,-0.33
1911,-0.34
1912,-0.32
1913,-0.3
1914,-0.15
1915,-0.1
1916,-0.3
1917,-0.39
1918,-0.33
1919,-0.2
1920,-0.19
1921,-0.14
1922,-0.26
1923,-0.22
1924,-0.22
1925,-0.17
1926,-0.02
1927,-0.15
1928,-0.12
1929,-0.26
1930,-0.08
1931,-0.02
1932,-0.08
1933,-0.19
1934,-0.07
1935,-0.12
1936,-0.05
1937,0.07
1938,0.1
1939,0.01
1940,0.04
1941,0.1
1942,0.03
1943,0.09
1944,0.19
1945,0.06
1946,-0.05
1947,0
1948,-0.04
1949,-0.07
1950,-0.16
1951,-0.04
1952,0.03
1953,0.11
1954,-0.1
1955,-0.1
1956,-0.17
1957,0.08
1958,0.08
1959,0.06
1960,-0.01
1961,0.07
1962,0.04
1963,0.08
1964,-0.21
1965,-0.11
1966,-0.03
1967,-0.01
1968,-0.04
1969,0.08
1970,0.03
1971,-0.1
1972,0
1973,0.14
1974,-0.08
1975,-0.05
1976,-0.16
1977,0.12
1978,0.01
1979,0.08
1980,0.18
1981,0.26
1982,0.04
1983,0.26
1984,0.09
1985,0.05
1986,0.12
1987,0.26
1988,0.31
1989,0.19
1990,0.37
1991,0.35
1992,0.12
1993,0.13
1994,0.23
1995,0.37
1996,0.29
1997,0.39
1998,0.56
1999,0.32
2000,0.33
2001,0.48
2002,0.56
2003,0.55
2004,0.48
2005,0.62
2006,0.54
2007,0.57
2008,0.43
2009,0.57
