index,value
1880,-0.53
1881,-0.51
1882,-0.41
1883,-0.43
1884,-0.72
1885,-0.56
1886,-0.7
1887,-0.74
1888,-0.53
1889,-0.25
1890,-0.61
1891,-0.62
1892,-0.53
1893,-0.56
1894,-0.47
1895,-0.39
1896,-0.36
1897,-0.27
1898,-0.43
1899,-0.35
1900,-0.2
1901,-0.19
1902,-0.4
1903,-0.46
1904,-0.56
1905,-0.39
1906,-0.27
1907,-0.56
1908,-0.42
1909,-0.44
1910,-0.37
1911,-0.39
1912,-0.37
1913,-0.37
1914,-0.11
1915,-0.1
1916,-0.32
1917,-0.54
1918,-0.45
1919,-0.21
1920,-0.3
1921,-0.19
1922,-0.26
1923,-0.28
1924,-0.24
1925,-0.27
1926,-0.05
1927,-0.19
1928,-0.11
1929,-0.35
1930,-0.15
1931,-0.09
1932,-0.11
1933,-0.24
1934,-0.09
1935,-0.22
1936,-0.09
1937,0.01
1938,0.07
1939,-0.12
1940,0.07
1941,0.03
1942,0.03
1943,-0.03
1944,0.04
1945,-0.09
1946,-0.09
1947,0.04
1948,-0.1
1949,-0.13
1950,-0.23
1951,-0.08
1952,-0.04
1953,0.04
1954,-0.14
1955,-0.13
1956,-0.23
1957,0.02
1958,0.07
1959,0.04
1960,-0.03
1961,0.09
1962,0.02
1963,0.02
1964,-0.25
1965,-0.17
1966,-0.06
1967,-0.01
1968,-0.09
1969,0.02
1970,0.08
1971,-0.07
1972,-0.02
1973,0.23
1974,-0.04
1975,0.02
1976,-0.17
1977,0.21
1978,0.13
1979,0.2
1980,0.34
1981,0.43
1982,0.13
1983,0.39
1984,0.21
1985,0.19
1986,0.25
1987,0.41
1988,0.51
1989,0.38
1990,0.52
1991,0.52
1992,0.23
1993,0.27
1994,0.38
1995,0.56
1996,0.48
1997,0.54
1998,0.83
1999,0.59
2000,0.56
2001,0.67
2002,0.79
2003,0.77
2004,0.69
2005,0.87
2006,0.77
2007,0.85
2008,0.64
2009,0.78
2010,0.92
2011,0.78
2012,0.77
2013,0.82
2014,0.88
2015,0.98
