index,value
1948 Jan,295
1948 Feb,286
1948 Mar,300
1948 Apr,278
1948 May,272
1948 Jun,268
1948 Jul,308
1948 Aug,321
1948 Sep,313
1948 Oct,308
1948 Nov,291
1948 Dec,296
1949 Jan,294
1949 Feb,273
1949 Mar,300
1949 Apr,271
1949 May,282
1949 Jun,285
1949 Jul,318
1949 Aug,323
1949 Sep,313
1949 Oct,311
1949 Nov,291
1949 Dec,293
1950 Jan,297
1950 Feb,273
1950 Mar,294
1950 Apr,259
1950 May,276
1950 Jun,294
1950 Jul,316
1950 Aug,325
1950 Sep,315
1950 Oct,312
1950 Nov,292
1950 Dec,301
1951 Jan,304
1951 Feb,282
1951 Mar,313
1951 Apr,296
1951 May,313
1951 Jun,307
1951 Jul,328
1951 Aug,334
1951 Sep,329
1951 Oct,329
1951 Nov,304
1951 Dec,312
1952 Jan,312
1952 Feb,300
1952 Mar,317
1952 Apr,292
1952 May,300
1952 Jun,311
1952 Jul,345
1952 Aug,350
1952 Sep,344
1952 Oct,336
1952 Nov,315
1952 Dec,323
1953 Jan,322
1953 Feb,296
1953 Mar,315
1953 Apr,287
1953 May,307
1953 Jun,321
1953 Jul,354
1953 Aug,356
1953 Sep,348
1953 Oct,334
1953 Nov,320
1953 Dec,340
1954 Jan,332
1954 Feb,302
1954 Mar,324
1954 Apr,305
1954 May,318
1954 Jun,329
1954 Jul,359
1954 Aug,363
1954 Sep,359
1954 Oct,352
1954 Nov,335
1954 Dec,342
1955 Jan,329
1955 Feb,306
1955 Mar,332
1955 Apr,309
1955 May,326
1955 Jun,325
1955 Jul,354
1955 Aug,367
1955 Sep,362
1955 Oct,354
1955 Nov,337
1955 Dec,345
1956 Jan,339
1956 Feb,325
1956 Mar,345
1956 Apr,309
1956 May,315
1956 Jun,334
1956 Jul,370
1956 Aug,383
1956 Sep,375
1956 Oct,370
1956 Nov,344
1956 Dec,355
1957 Jan,346
1957 Feb,317
1957 Mar,348
1957 Apr,331
1957 May,345
1957 Jun,348
1957 Jul,380
1957 Aug,381
1957 Sep,377
1957 Oct,376
1957 Nov,348
1957 Dec,356
1958 Jan,344
1958 Feb,320
1958 Mar,347
1958 Apr,326
1958 May,343
1958 Jun,338
1958 Jul,361
1958 Aug,368
1958 Sep,378
1958 Oct,374
1958 Nov,347
1958 Dec,358
1959 Jan,349
1959 Feb,323
1959 Mar,358
1959 Apr,331
1959 May,338
1959 Jun,343
1959 Jul,374
1959 Aug,380
1959 Sep,377
1959 Oct,368
1959 Nov,346
1959 Dec,358
1960 Jan,338
1960 Feb,329
1960 Mar,347
1960 Apr,327
1960 May,335
1960 Jun,336
1960 Jul,370
1960 Aug,399
1960 Sep,385
1960 Oct,368
1960 Nov,351
1960 Dec,362
1961 Jan,358
1961 Feb,333
1961 Mar,356
1961 Apr,335
1961 May,348
1961 Jun,346
1961 Jul,374
1961 Aug,386
1961 Sep,384
1961 Oct,372
1961 Nov,343
1961 Dec,346
1962 Jan,346
1962 Feb,318
1962 Mar,359
1962 Apr,328
1962 May,333
1962 Jun,329
1962 Jul,366
1962 Aug,373
1962 Sep,367
1962 Oct,363
1962 Nov,337
1962 Dec,346
1963 Jan,355
1963 Feb,314
1963 Mar,343
1963 Apr,322
1963 May,336
1963 Jun,327
1963 Jul,362
1963 Aug,366
1963 Sep,361
1963 Oct,358
1963 Nov,327
1963 Dec,330
1964 Jan,336
1964 Feb,326
1964 Mar,337
1964 Apr,316
1964 May,331
1964 Jun,331
1964 Jul,359
1964 Aug,350
1964 Sep,356
1964 Oct,347
1964 Nov,328
1964 Dec,336
1965 Jan,315
1965 Feb,292
1965 Mar,322
1965 Apr,291
1965 May,302
1965 Jun,310
1965 Jul,330
1965 Aug,335
1965 Sep,333
1965 Oct,318
1965 Nov,305
1965 Dec,313
1966 Jan,301
1966 Feb,281
1966 Mar,302
1966 Apr,291
1966 May,297
1966 Jun,291
1966 Jul,311
1966 Aug,319
1966 Sep,317
1966 Oct,317
1966 Nov,296
1966 Dec,307
1967 Jan,295
1967 Feb,265
1967 Mar,300
1967 Apr,271
1967 May,291
1967 Jun,290
1967 Jul,310
1967 Aug,318
1967 Sep,310
1967 Oct,304
1967 Nov,285
1967 Dec,288
1968 Jan,277
1968 Feb,260
1968 Mar,282
1968 Apr,274
1968 May,288
1968 Jun,287
1968 Jul,308
1968 Aug,312
1968 Sep,306
1968 Oct,304
1968 Nov,282
1968 Dec,305
1969 Jan,284
1969 Feb,273
1969 Mar,286
1969 Apr,284
1969 May,294
1969 Jun,288
1969 Jul,315
1969 Aug,322
1969 Sep,317
1969 Oct,309
1969 Nov,295
1969 Dec,306
1970 Jan,300
1970 Feb,275
1970 Mar,301
1970 Apr,292
1970 May,298
1970 Jun,306
1970 Jul,326
1970 Aug,332
