index,value
1970 Jan,0
1970 Feb,1
1970 Mar,0
1970 Apr,0
1970 May,1
1970 Jun,3
1970 Jul,9
1970 Aug,2
1970 Sep,3
1970 Oct,5
1970 Nov,3
1970 Dec,5
1971 Jan,2
1971 Feb,2
1971 Mar,0
1971 Apr,1
1971 May,0
1971 Jun,1
1971 Jul,3
1971 Aug,3
1971 Sep,2
1971 Oct,1
1971 Nov,1
1971 Dec,5
1972 Jan,0
1972 Feb,3
1972 Mar,1
1972 Apr,0
1972 May,1
1972 Jun,4
1972 Jul,0
1972 Aug,0
1972 Sep,1
1972 Oct,6
1972 Nov,14
1972 Dec,1
1973 Jan,1
1973 Feb,0
1973 Mar,0
1973 Apr,1
1973 May,1
1973 Jun,1
1973 Jul,1
1973 Aug,0
1973 Sep,1
1973 Oct,0
1973 Nov,1
1973 Dec,0
1974 Jan,1
1974 Feb,0
1974 Mar,1
1974 Apr,0
1974 May,1
1974 Jun,0
1974 Jul,1
1974 Aug,0
1974 Sep,1
1974 Oct,0
1974 Nov,0
1974 Dec,2
1975 Jan,0
1975 Feb,1
1975 Mar,0
1975 Apr,1
1975 May,0
1975 Jun,0
1975 Jul,1
1975 Aug,2
1975 Sep,0
1975 Oct,0
1975 Nov,1
1975 Dec,2
1976 Jan,0
1976 Feb,3
1976 Mar,1
1976 Apr,1
1976 May,0
1976 Jun,2
1976 Jul,0
1976 Aug,4
1976 Sep,0
1976 Oct,2
1976 Nov,1
1976 Dec,1
1977 Jan,1
1977 Feb,1
1977 Mar,0
1977 Apr,1
1977 May,1
1977 Jun,0
1977 Jul,2
1977 Aug,1
1977 Sep,3
1977 Oct,1
1977 Nov,2
1977 Dec,4
1978 Jan,0
1978 Feb,0
1978 Mar,0
1978 Apr,1
1978 May,0
1978 Jun,1
1978 Jul,0
1978 Aug,2
1978 Sep,2
1978 Oct,4
1978 Nov,2
1978 Dec,3
1979 Jan,3
1979 Feb,0
1979 Mar,0
1979 Apr,2
1979 May,7
1979 Jun,8
1979 Jul,2
1979 Aug,4
1979 Sep,1
1979 Oct,1
1979 Nov,2
1979 Dec,4
1980 Jan,0
1980 Feb,1
1980 Mar,1
1980 Apr,1
1980 May,3
1980 Jun,0
1980 Jul,0
1980 Aug,0
1980 Sep,0
1980 Oct,1
1980 Nov,0
1980 Dec,1
1981 Jan,1
1981 Feb,0
1981 Mar,0
1981 Apr,0
1981 May,0
1981 Jun,0
1981 Jul,1
1981 Aug,2
1981 Sep,0
1981 Oct,2
1981 Nov,0
1981 Dec,0
1982 Jan,0
1982 Feb,1
1982 Mar,0
1982 Apr,1
1982 May,0
1982 Jun,1
1982 Jul,0
1982 Aug,2
1982 Sep,0
1982 Oct,0
1982 Nov,1
1982 Dec,2
1983 Jan,0
1983 Feb,1
1983 Mar,0
1983 Apr,0
1983 May,0
1983 Jun,1
1983 Jul,2
1983 Aug,1
1983 Sep,0
1983 Oct,1
1983 Nov,3
1983 Dec,6
