index,value
1880,-0.24
1881,-0.19
1882,-0.14
1883,-0.19
1884,-0.45
1885,-0.32
1886,-0.42
1887,-0.54
1888,-0.24
1889,-0.05
1890,-0.41
1891,-0.47
1892,-0.39
1893,-0.42
1894,-0.29
1895,-0.21
1896,-0.1
1897,-0.04
1898,-0.21
1899,-0.13
1900,0.02
1901,0.02
1902,-0.17
1903,-0.27
1904,-0.37
1905,-0.17
1906,-0.07
1907,-0.36
1908,-0.23
1909,-0.26
1910,-0.17
1911,-0.2
1912,-0.22
1913,-0.2
1914,0.02
1915,0.03
1916,-0.2
1917,-0.4
1918,-0.32
1919,-0.07
1920,-0.14
1921,-0.07
1922,-0.15
1923,-0.18
1924,-0.13
1925,-0.14
1926,0.06
1927,-0.07
1928,-0.02
1929,-0.22
1930,-0.03
1931,0.02
1932,0.01
1933,-0.13
1934,0.04
1935,-0.1
1936,0
1937,0.11
1938,0.15
1939,-0.02
1940,0.14
1941,0.11
1942,0.1
1943,0.04
1944,0.08
1945,-0.01
1946,0
1947,0.12
1948,-0.03
1949,-0.09
1950,-0.17
1951,-0.02
1952,0.04
1953,0.12
1954,-0.08
1955,-0.07
1956,-0.17
1957,0.08
1958,0.1
1959,0.05
1960,-0.01
1961,0.09
1962,0.04
1963,0.03
1964,-0.25
1965,-0.15
1966,-0.07
1967,-0.01
1968,-0.09
1969,0
1970,0.05
1971,-0.1
1972,-0.06
1973,0.19
1974,-0.07
1975,-0.02
1976,-0.23
1977,0.15
1978,0.06
1979,0.13
1980,0.27
1981,0.39
1982,0.06
1983,0.32
1984,0.13
1985,0.12
1986,0.18
1987,0.34
1988,0.41
1989,0.27
1990,0.47
1991,0.42
1992,0.14
1993,0.17
1994,0.3
1995,0.44
1996,0.36
1997,0.38
1998,0.7
1999,0.43
2000,0.41
2001,0.56
2002,0.68
2003,0.65
2004,0.59
2005,0.77
2006,0.65
2007,0.73
2008,0.55
2009,0.72
