index,value
1968 Jan,0.8113721
1968 Feb,0.4458291
1968 Mar,0.3415985
1968 Apr,0.2774243
1968 May,0.2484958
1968 Jun,0.2525427
1968 Jul,0.2466902
1968 Aug,0.2452006
1968 Sep,0.2279679
1968 Oct,0.2610293
1968 Nov,0.3177998
1968 Dec,0.7298681
1969 Jan,0.8192756
1969 Feb,0.4376872
1969 Mar,0.3834813
1969 Apr,0.2919304
1969 May,0.255642
1969 Jun,0.2369918
1969 Jul,0.2495123
1969 Aug,0.2280816
1969 Sep,0.2335083
1969 Oct,0.2679917
1969 Nov,0.3030445
1969 Dec,0.3594536
1970 Jan,0.4932865
1970 Feb,0.5692177
1970 Mar,0.3593959
1970 Apr,0.2741868
1970 May,0.2424912
1970 Jun,0.2241473
1970 Jul,0.228084
1970 Aug,0.2283657
1970 Sep,0.2282342
1970 Oct,0.2579092
1970 Nov,0.2909701
1970 Dec,0.3113483
1971 Jan,0.3743171
1971 Feb,0.3746391
1971 Mar,0.3398281
1971 Apr,0.2909505
1971 May,0.2403667
1971 Jun,0.2269297
1971 Jul,0.2134564
1971 Aug,0.2074597
1971 Sep,0.2099793
1971 Oct,0.2464345
1971 Nov,0.2768291
1971 Dec,0.3359459
1972 Jan,0.6381312
1972 Feb,0.5195216
1972 Mar,0.2968231
1972 Apr,0.2514277
1972 May,0.2144966
1972 Jun,0.1964111
1972 Jul,0.2343862
1972 Aug,0.2095384
1972 Sep,0.21776
1972 Oct,0.2450697
1972 Nov,0.2554203
1972 Dec,0.3357194
1973 Jan,0.5968794
1973 Feb,0.5156948
1973 Mar,0.3085772
1973 Apr,0.2569596
1973 May,0.2194814
1973 Jun,0.2158074
1973 Jul,0.2240929
1973 Aug,0.2217431
1973 Sep,0.2388084
1973 Oct,0.2528328
1973 Nov,0.260521
1973 Dec,0.2822165
1974 Jan,0.3096678
1974 Feb,0.3330646
1974 Mar,0.349702
1974 Apr,0.3066515
1974 May,0.223837
1974 Jun,0.2030033
1974 Jul,0.2231299
1974 Aug,0.1891271
1974 Sep,0.1997522
1974 Oct,0.2269953
1974 Nov,0.2295186
1974 Dec,0.3198083
1975 Jan,0.49372
1975 Feb,0.4728154
1975 Mar,0.3094317
1975 Apr,0.2343683
1975 May,0.200722
1975 Jun,0.1906996
1975 Jul,0.1877136
1975 Aug,0.1990874
1975 Sep,0.1908602
1975 Oct,0.2111834
1975 Nov,0.2084524
1975 Dec,0.2510464
1976 Jan,0.2902977
1976 Feb,0.5702096
1976 Mar,0.6384278
1976 Apr,0.3135166
1976 May,0.2047724
1976 Jun,0.1885323
1976 Jul,0.1798065
1976 Aug,0.1867087
1976 Sep,0.1871117
1976 Oct,0.2157304
1976 Nov,0.2385934
1976 Dec,0.2572363
1977 Jan,0.281731
1977 Feb,0.3030367
1977 Mar,0.2915253
1977 Apr,0.2453148
1977 May,0.2051037
1977 Jun,0.1845583
1977 Jul,0.2046436
1977 Aug,0.1828399
1977 Sep,0.1960763
1977 Oct,0.2203844
1977 Nov,0.224994
1977 Dec,0.3036654
1978 Jan,0.5712671
1978 Feb,0.4351815
1978 Mar,0.282585
1978 Apr,0.2381904
1978 May,0.2196089
1978 Jun,0.190482
1978 Jul,0.1926964
1978 Aug,0.1853681
1978 Sep,0.1943872
1978 Oct,0.2290728
1978 Nov,0.225355
1978 Dec,0.2569408
