index,value
1845,30.09
1846,45.15
1847,49.15
1848,39.52
1849,21.23
1850,8.42
1851,5.56
1852,5.08
1853,10.17
1854,19.6
1855,32.91
1856,34.38
1857,29.59
1858,21.3
1859,13.69
1860,7.65
1861,4.08
1862,4.09
1863,14.33
1864,38.22
1865,60.78
1866,70.77
1867,72.77
1868,42.68
1869,16.39
1870,9.83
1871,5.8
1872,5.26
1873,18.91
1874,30.95
1875,31.18
1876,46.34
1877,45.77
1878,44.15
1879,36.33
1880,12.03
1881,12.6
1882,18.34
1883,35.14
1884,43.77
1885,65.69
1886,79.35
1887,51.65
1888,32.59
1889,22.45
1890,16.16
1891,14.12
1892,20.38
1893,33.33
1894,46
1895,51.41
1896,46.43
1897,33.68
1898,18.01
1899,8.86
1900,7.13
1901,9.47
1902,14.86
1903,31.47
1904,60.57
1905,63.51
1906,54.7
1907,6.3
1908,3.41
1909,5.44
1910,11.65
1911,20.35
1912,32.88
1913,39.55
1914,43.36
1915,40.83
1916,30.36
1917,17.18
1918,6.82
1919,3.19
1920,3.52
1921,9.94
1922,20.3
1923,31.99
1924,42.36
1925,49.08
1926,53.99
1927,52.25
1928,37.7
1929,19.14
1930,6.98
1931,8.31
1932,16.01
1933,24.82
1934,29.7
1935,35.4
